id,metadata,name,value
1,[],Alabama,[140]
4,[],Arizona,[126]
5,[],Arkansas,[229]
6,[],California,[1468]
8,[],Colorado,[143]
9,[],Connecticut,[69]
10,[],Delaware,[70]
12,[],Florida,[173]
13,[],Georgia,[478]
16,[],Idaho,[187]
17,[],Illinois,[659]
18,[],Indiana,[377]
19,[],Iowa,[138]
20,[],Kansas,[246]
21,[],Kentucky,[140]
22,[],Louisiana,[120]
23,[],Maine,[39]
24,[],Maryland,[102]
25,[],Massachusetts,[181]
26,[],Michigan,[219]
27,[],Minnesota,[184]
28,[],Mississippi,[115]
29,[],Missouri,[380]
30,[],Montana,[8]
31,[],Nebraska,[82]
32,[],Nevada,[79]
33,[],New Hampshire,[24]
34,[],New Jersey,[604]
35,[],New Mexico,[78]
36,[],New York,[381]
37,[],North Carolina,[364]
38,[],North Dakota,[53]
39,[],Ohio,[375]
40,[],Oklahoma,[141]
41,[],Oregon,[83]
42,[],Pennsylvania,[678]
44,[],Rhode Island,[5]
45,[],South Carolina,[195]
46,[],South Dakota,[33]
47,[],Tennessee,[230]
48,[],Texas,[1370]
49,[],Utah,[122]
50,[],Vermont,[30]
51,[],Virginia,[168]
53,[],Washington,[141]
54,[],West Virginia,[42]
55,[],Wisconsin,[359]
56,[],Wyoming,[12]
