id,metadata,name,value
1,[],Alabama,[5599]
4,[],Arizona,[824]
5,[],Arkansas,[2871]
6,[],California,[2250]
8,[],Colorado,[311]
9,[],Connecticut,[175]
10,[],Delaware,[44]
12,[],Florida,[3013]
13,[],Georgia,[2991]
16,[],Idaho,[383]
17,[],Illinois,[1944]
18,[],Indiana,[749]
19,[],Iowa,[190]
20,[],Kansas,[424]
21,[],Kentucky,[476]
22,[],Louisiana,[1883]
23,[],Maine,[69]
24,[],Maryland,[1139]
25,[],Massachusetts,[443]
26,[],Michigan,[443]
27,[],Minnesota,[476]
28,[],Mississippi,[3626]
29,[],Missouri,[828]
30,[],Montana,[216]
31,[],Nebraska,[182]
32,[],Nevada,[248]
33,[],New Hampshire,[45]
34,[],New Jersey,[323]
35,[],New Mexico,[186]
36,[],New York,[427]
37,[],North Carolina,[1234]
38,[],North Dakota,[42]
39,[],Ohio,[972]
40,[],Oklahoma,[865]
41,[],Oregon,[527]
42,[],Pennsylvania,[970]
44,[],Rhode Island,[44]
45,[],South Carolina,[1703]
46,[],South Dakota,[199]
47,[],Tennessee,[1312]
48,[],Texas,[5260]
49,[],Utah,[247]
50,[],Vermont,[9]
51,[],Virginia,[602]
53,[],Washington,[699]
54,[],West Virginia,[207]
55,[],Wisconsin,[324]
56,[],Wyoming,[204]
