ORIGINAL_TYPE,STANDARD_TYPE
DRY VAN,Dry Van
DRYVAN,Dry Van
DRY_VAN,Dry Van
VAN,Dry Van
REEFER,Reefer
REFRIGERATED,Reefer
FLATBED,Flatbed
FLAT_BED,Flatbed
FLAT,Flatbed
