id,metadata,name,value
1,[],Alabama,[3.97]
4,[],Arizona,[1.48]
5,[],Arkansas,[4.27]
6,[],California,[1.3]
8,[],Colorado,[0.29]
9,[],Connecticut,[0.76]
10,[],Delaware,[0.59]
12,[],Florida,[0.84]
13,[],Georgia,[1.3]
16,[],Idaho,[1.14]
17,[],Illinois,[0.91]
18,[],Indiana,[0.29]
19,[],Iowa,[0.32]
20,[],Kansas,[0.58]
21,[],Kentucky,[0.35]
22,[],Louisiana,[4.03]
23,[],Maine,[0.25]
24,[],Maryland,[2.68]
25,[],Massachusetts,[0.79]
26,[],Michigan,[0.45]
27,[],Minnesota,[0.52]
28,[],Mississippi,[12.59]
29,[],Missouri,[0.65]
30,[],Montana,[0.81]
31,[],Nebraska,[0.25]
32,[],Nevada,[0.6]
33,[],New Hampshire,[0.24]
34,[],New Jersey,[0.73]
35,[],New Mexico,[0.31]
36,[],New York,[0.28]
37,[],North Carolina,[0.7]
38,[],North Dakota,[0.1]
39,[],Ohio,[0.49]
40,[],Oklahoma,[1.19]
41,[],Oregon,[1.58]
42,[],Pennsylvania,[0.45]
44,[],Rhode Island,[0.3]
45,[],South Carolina,[1.54]
46,[],South Dakota,[0.55]
47,[],Tennessee,[0.78]
48,[],Texas,[1.08]
49,[],Utah,[0.47]
50,[],Vermont,[0.07]
51,[],Virginia,[0.53]
53,[],Washington,[1.3]
54,[],West Virginia,[0.85]
55,[],Wisconsin,[0.23]
56,[],Wyoming,[0.99]
