id,metadata,name,value
1,[],Alabama,[3.153]
4,[],Arizona,[3.392]
5,[],Arkansas,[3.096]
6,[],California,[4.167]
8,[],Colorado,[3.1]
9,[],Connecticut,[3.325]
10,[],Delaware,[3.544]
12,[],Florida,[3.321]
13,[],Georgia,[3.224]
16,[],Idaho,[3.608]
17,[],Illinois,[3.033]
18,[],Indiana,[3.212]
19,[],Iowa,[3.208]
20,[],Kansas,[3.179]
21,[],Kentucky,[3.169]
22,[],Louisiana,[3.141]
23,[],Maine,[3.578]
24,[],Maryland,[3.308]
25,[],Massachusetts,[3.619]
26,[],Michigan,[3.244]
27,[],Minnesota,[3.3]
28,[],Mississippi,[3.088]
29,[],Missouri,[3.125]
30,[],Montana,[3.352]
31,[],Nebraska,[3.113]
32,[],Nevada,[3.695]
33,[],New Hampshire,[3.598]
34,[],New Jersey,[3.177]
35,[],New Mexico,[3.231]
36,[],New York,[3.542]
37,[],North Carolina,[3.132]
38,[],North Dakota,[3.194]
39,[],Ohio,[3.238]
40,[],Oklahoma,[3.088]
41,[],Oregon,[4.5]
42,[],Pennsylvania,[3.281]
44,[],Rhode Island,[3.435]
45,[],South Carolina,[3.227]
46,[],South Dakota,[3.081]
47,[],Tennessee,[3.165]
48,[],Texas,[3.064]
49,[],Utah,[3.324]
50,[],Vermont,[3.543]
51,[],Virginia,[3.316]
53,[],Washington,[4.438]
54,[],West Virginia,[3.252]
55,[],Wisconsin,[3.212]
56,[],Wyoming,[3.348]
