id,metadata,name,value
1,[],Alabama,[1.13]
4,[],Arizona,[0.71]
5,[],Arkansas,[2.17]
6,[],California,[1.71]
8,[],Colorado,[0.65]
9,[],Connecticut,[0.4]
10,[],Delaware,[0.93]
12,[],Florida,[0.35]
13,[],Georgia,[1.07]
16,[],Idaho,[0.87]
17,[],Illinois,[0.94]
18,[],Indiana,[0.63]
19,[],Iowa,[0.81]
20,[],Kansas,[1.42]
21,[],Kentucky,[1.16]
22,[],Louisiana,[1.61]
23,[],Maine,[0.42]
24,[],Maryland,[0.78]
25,[],Massachusetts,[0.48]
26,[],Michigan,[0.98]
27,[],Minnesota,[1]
28,[],Mississippi,[1.64]
29,[],Missouri,[1.21]
30,[],Montana,[2.6]
31,[],Nebraska,[0.96]
32,[],Nevada,[1.15]
33,[],New Hampshire,[0.42]
34,[],New Jersey,[1.31]
35,[],New Mexico,[0.98]
36,[],New York,[0.96]
37,[],North Carolina,[1.2]
38,[],North Dakota,[0.78]
39,[],Ohio,[1.66]
40,[],Oklahoma,[2.37]
41,[],Oregon,[0.55]
42,[],Pennsylvania,[1.18]
44,[],Rhode Island,[0.47]
45,[],South Carolina,[1.63]
46,[],South Dakota,[3.85]
47,[],Tennessee,[1.02]
48,[],Texas,[1.91]
49,[],Utah,[0.49]
50,[],Vermont,[0.77]
51,[],Virginia,[0.76]
53,[],Washington,[0.37]
54,[],West Virginia,[1.19]
55,[],Wisconsin,[1.02]
56,[],Wyoming,[3.43]
