name,stages
Dry Van Rate,[2.14, 2.16, 2.09, 2.06, 1.97, 1.92, 1.87, 1.9, 1.89, 1.88, 1.82, 1.81, 1.84, 1.89, 1.82, 1.8, 1.79, 1.8, 1.76, 1.88, 1.95, 1.94, 1.89, 1.87, 1.86, 1.91, 2.12, 1.95, 1.91, null]
Reefer Rate,[2.7, 2.72, 2.57, 2.46, 2.36, 2.23, 2.16, 2.19, 2.13, 2.12, 2.1, 2.08, 2.1, 2.18, 2.11, 2.18, 2.16, 2.25, 2.18, 2.45, 2.44, 2.31, 2.26, 2.31, 2.28, 2.43, 2.63, 2.4, 2.36, null]
Flatbed Rate,[2.19, 2.21, 2.24, 2.24, 2.28, 2.27, 2.29, 2.3, 2.33, 2.35, 2.42, 2.45, 2.5, 2.53, 2.55, 2.6, 2.58, 2.56, 2.49, 2.46, 2.46, 2.49, 2.49, 2.46, 2.45, 2.45, 2.46, 2.4, 2.36, null]
