id,metadata,name,value
1,[],Alabama,[414]
4,[],Arizona,[380]
5,[],Arkansas,[580]
6,[],California,[2517]
8,[],Colorado,[304]
9,[],Connecticut,[89]
10,[],Delaware,[63]
12,[],Florida,[537]
13,[],Georgia,[1106]
16,[],Idaho,[111]
17,[],Illinois,[1099]
18,[],Indiana,[731]
19,[],Iowa,[227]
20,[],Kansas,[424]
21,[],Kentucky,[457]
22,[],Louisiana,[512]
23,[],Maine,[30]
24,[],Maryland,[247]
25,[],Massachusetts,[194]
26,[],Michigan,[530]
27,[],Minnesota,[382]
28,[],Mississippi,[320]
29,[],Missouri,[551]
30,[],Montana,[218]
31,[],Nebraska,[181]
32,[],Nevada,[252]
33,[],New Hampshire,[31]
34,[],New Jersey,[734]
35,[],New Mexico,[186]
36,[],New York,[681]
37,[],North Carolina,[929]
38,[],North Dakota,[42]
39,[],Ohio,[1516]
40,[],Oklahoma,[864]
41,[],Oregon,[155]
42,[],Pennsylvania,[1274]
44,[],Rhode Island,[30]
45,[],South Carolina,[667]
46,[],South Dakota,[208]
47,[],Tennessee,[672]
48,[],Texas,[5262]
49,[],Utah,[185]
50,[],Vermont,[34]
51,[],Virginia,[553]
53,[],Washington,[211]
54,[],West Virginia,[93]
55,[],Wisconsin,[560]
56,[],Wyoming,[206]
